thread,action,start,end
2,addVehicle,1684248637611,1684248640032
2,updateVehicle,1684248640034,1684248640456
2,updateVehicle,1684248640456,1684248641099
2,updateVehicle,1684248641099,1684248641478
2,updateVehicle,1684248641478,1684248641835
2,updateVehicle,1684248641835,1684248642198
2,updateVehicle,1684248642198,1684248642590
2,addVehicle,1684248642590,1684248642962
2,updateVehicle,1684248642962,1684248643309
2,updateVehicle,1684248643309,1684248643646
2,updateVehicle,1684248643646,1684248643990
2,addVehicle,1684248643990,1684248644408
2,updateVehicle,1684248644408,1684248644765
2,updateVehicle,1684248644765,1684248645118
2,updateVehicle,1684248645119,1684248645465
2,addVehicle,1684248645465,1684248645819
2,updateVehicle,1684248645819,1684248646264
2,updateVehicle,1684248646264,1684248646624
2,updateVehicle,1684248646624,1684248646937
2,updateVehicle,1684248646937,1684248647289
2,updateVehicle,1684248647289,1684248647622
2,updateVehicle,1684248647622,1684248648006
2,updateVehicle,1684248648006,1684248648396
2,addVehicle,1684248648396,1684248648728
2,updateVehicle,1684248648729,1684248649047
2,updateVehicle,1684248649047,1684248649408
2,updateVehicle,1684248649408,1684248649776
2,updateVehicle,1684248649776,1684248650153
2,updateVehicle,1684248650154,1684248650485
2,updateVehicle,1684248650486,1684248650868
2,updateVehicle,1684248650868,1684248651285
2,updateVehicle,1684248651285,1684248651581
2,updateVehicle,1684248651581,1684248651930
2,addVehicle,1684248651930,1684248652406
2,updateVehicle,1684248652406,1684248652790
2,addVehicle,1684248652791,1684248653151
2,updateVehicle,1684248653151,1684248653498
2,updateVehicle,1684248653498,1684248653828
2,updateVehicle,1684248653828,1684248654163
2,updateVehicle,1684248654163,1684248654584
2,updateVehicle,1684248654585,1684248654929
2,addVehicle,1684248654929,1684248655290
2,updateVehicle,1684248655290,1684248655612
2,updateVehicle,1684248655612,1684248655942
2,addVehicle,1684248655942,1684248656280
2,updateVehicle,1684248656280,1684248656677
2,updateVehicle,1684248656677,1684248657025
2,updateVehicle,1684248657025,1684248657360
2,updateVehicle,1684248657361,1684248657685
2,updateVehicle,1684248657685,1684248658125
2,updateVehicle,1684248658125,1684248658544
2,addVehicle,1684248658544,1684248658940
2,updateVehicle,1684248658941,1684248659288
2,addVehicle,1684248659288,1684248659706
2,updateVehicle,1684248659706,1684248660065
2,updateVehicle,1684248660065,1684248660397
2,updateVehicle,1684248660397,1684248660788
2,updateVehicle,1684248660788,1684248661115
2,updateVehicle,1684248661115,1684248661505
2,addVehicle,1684248661505,1684248661833
2,updateVehicle,1684248661834,1684248662169
2,updateVehicle,1684248662169,1684248662444
2,updateVehicle,1684248662444,1684248662819
2,updateVehicle,1684248662819,1684248663192
2,addVehicle,1684248663193,1684248663535
2,updateVehicle,1684248663535,1684248663994
2,updateVehicle,1684248663994,1684248664376
2,updateVehicle,1684248664376,1684248664783
2,updateVehicle,1684248664783,1684248665125
2,updateVehicle,1684248665125,1684248665424
2,addVehicle,1684248665424,1684248665756
2,updateVehicle,1684248665756,1684248666133
2,updateVehicle,1684248666133,1684248666495
2,addVehicle,1684248666495,1684248666848
2,updateVehicle,1684248666849,1684248667235
2,updateVehicle,1684248667236,1684248667604
2,updateVehicle,1684248667604,1684248667925
2,updateVehicle,1684248667925,1684248668257
2,updateVehicle,1684248668257,1684248668623
2,addVehicle,1684248668623,1684248668939
2,updateVehicle,1684248668939,1684248669326
2,updateVehicle,1684248669326,1684248669642
2,updateVehicle,1684248669642,1684248670009
