action,duration
addVehicle,207
updateVehicle,126
addVehicle,139
updateVehicle,113
updateVehicle,112
updateVehicle,95
updateVehicle,96
updateVehicle,110
updateVehicle,96
updateVehicle,98
addVehicle,123
updateVehicle,88
updateVehicle,103
updateVehicle,92
updateVehicle,96
updateVehicle,94
updateVehicle,96
updateVehicle,93
updateVehicle,96
updateVehicle,96
addVehicle,143
updateVehicle,88
updateVehicle,102
updateVehicle,95
updateVehicle,93
updateVehicle,99
updateVehicle,115
updateVehicle,73
updateVehicle,94
addVehicle,109
updateVehicle,97
updateVehicle,94
addVehicle,126
updateVehicle,97
addVehicle,97
updateVehicle,82
updateVehicle,77
updateVehicle,80
updateVehicle,79
updateVehicle,96
addVehicle,111
updateVehicle,95
updateVehicle,94
updateVehicle,80
addVehicle,95
updateVehicle,78
updateVehicle,109
updateVehicle,80
updateVehicle,82
updateVehicle,111
addVehicle,111
updateVehicle,79
updateVehicle,79
updateVehicle,96
updateVehicle,78
updateVehicle,81
updateVehicle,78
addVehicle,112
updateVehicle,95
updateVehicle,82
updateVehicle,93
updateVehicle,96
updateVehicle,78
updateVehicle,81
updateVehicle,94
addVehicle,110
updateVehicle,79
updateVehicle,93
updateVehicle,83
addVehicle,150
updateVehicle,79
updateVehicle,80
updateVehicle,75
updateVehicle,79
updateVehicle,80
updateVehicle,79
updateVehicle,80
addVehicle,139
updateVehicle,81
updateVehicle,80
updateVehicle,96
updateVehicle,78
updateVehicle,79
updateVehicle,78
updateVehicle,85
addVehicle,104
updateVehicle,80
updateVehicle,79
updateVehicle,80
updateVehicle,93
updateVehicle,81
updateVehicle,106
updateVehicle,102
updateVehicle,78
updateVehicle,79
updateVehicle,79
addVehicle,97
updateVehicle,96
updateVehicle,95
updateVehicle,82
updateVehicle,75
updateVehicle,81
addVehicle,111
updateVehicle,97
updateVehicle,80
updateVehicle,94
updateVehicle,79
updateVehicle,74
updateVehicle,84
addVehicle,95
updateVehicle,79
addVehicle,89
updateVehicle,69
addVehicle,95
updateVehicle,81
updateVehicle,78
updateVehicle,80
addVehicle,132
updateVehicle,88
updateVehicle,69
updateVehicle,72
updateVehicle,80
updateVehicle,95
updateVehicle,95
updateVehicle,95
updateVehicle,95
updateVehicle,95
addVehicle,111
updateVehicle,94
updateVehicle,94
updateVehicle,78
updateVehicle,78
updateVehicle,78
updateVehicle,82
updateVehicle,64
updateVehicle,112
addVehicle,111
updateVehicle,79
updateVehicle,79
updateVehicle,79
updateVehicle,78
updateVehicle,79
updateVehicle,96
updateVehicle,78
updateVehicle,80
updateVehicle,80
updateVehicle,80
addVehicle,94
updateVehicle,79
updateVehicle,80
updateVehicle,79
updateVehicle,79
updateVehicle,82
updateVehicle,77
updateVehicle,63
updateVehicle,124
addVehicle,94
updateVehicle,80
updateVehicle,80
updateVehicle,80
updateVehicle,93
updateVehicle,80
updateVehicle,79
updateVehicle,80
updateVehicle,80
addVehicle,126
updateVehicle,81
updateVehicle,79
addVehicle,109
updateVehicle,79
updateVehicle,66
updateVehicle,76
updateVehicle,80
updateVehicle,79
addVehicle,110
updateVehicle,81
updateVehicle,94
updateVehicle,96
updateVehicle,103
updateVehicle,80
updateVehicle,76
updateVehicle,80
updateVehicle,79
updateVehicle,79
updateVehicle,79
addVehicle,111
updateVehicle,96
updateVehicle,79
updateVehicle,79
updateVehicle,78
updateVehicle,80
updateVehicle,79
updateVehicle,81
updateVehicle,78
updateVehicle,93
updateVehicle,82
addVehicle,96
updateVehicle,78
updateVehicle,80
updateVehicle,78
updateVehicle,81
updateVehicle,78
updateVehicle,79
updateVehicle,80
updateVehicle,78
updateVehicle,96
addVehicle,110
updateVehicle,79
updateVehicle,80
updateVehicle,78
addVehicle,112
updateVehicle,79
updateVehicle,92
updateVehicle,79
updateVehicle,79
updateVehicle,78
updateVehicle,79
updateVehicle,127
updateVehicle,78
updateVehicle,65
addVehicle,95
updateVehicle,80
updateVehicle,78
updateVehicle,79
updateVehicle,77
updateVehicle,83
updateVehicle,79
addVehicle,126
updateVehicle,79
updateVehicle,79
addVehicle,95
updateVehicle,80
addVehicle,110
updateVehicle,80
addVehicle,82
updateVehicle,93
updateVehicle,78
updateVehicle,79
updateVehicle,79
updateVehicle,85
addVehicle,89
updateVehicle,83
updateVehicle,95
updateVehicle,95
addVehicle,111
updateVehicle,81
updateVehicle,93
updateVehicle,80
updateVehicle,95
updateVehicle,79
updateVehicle,81
addVehicle,110
updateVehicle,80
updateVehicle,79
updateVehicle,80
updateVehicle,78
updateVehicle,95
addVehicle,121
updateVehicle,80
updateVehicle,80
updateVehicle,78
updateVehicle,96
updateVehicle,80
updateVehicle,94
addVehicle,112
updateVehicle,96
updateVehicle,76
updateVehicle,79
addVehicle,95
updateVehicle,78
updateVehicle,80
updateVehicle,82
addVehicle,114
updateVehicle,74
updateVehicle,64
updateVehicle,94
updateVehicle,96
updateVehicle,92
updateVehicle,85
addVehicle,111
updateVehicle,79
addVehicle,109
updateVehicle,95
updateVehicle,79
updateVehicle,80
updateVehicle,97
updateVehicle,78
updateVehicle,95
updateVehicle,79
updateVehicle,80
updateVehicle,79
addVehicle,110
updateVehicle,74
updateVehicle,85
updateVehicle,79
updateVehicle,80
updateVehicle,76
updateVehicle,96
updateVehicle,78
updateVehicle,95
addVehicle,93
updateVehicle,79
updateVehicle,80
updateVehicle,79
updateVehicle,79
addVehicle,94
updateVehicle,95
updateVehicle,78
updateVehicle,95
updateVehicle,92
updateVehicle,79
updateVehicle,78
addVehicle,112
updateVehicle,82
updateVehicle,79
updateVehicle,86
updateVehicle,86
updateVehicle,81
updateVehicle,77
updateVehicle,80
updateVehicle,79
updateVehicle,95
addVehicle,94
updateVehicle,79
updateVehicle,77
updateVehicle,80
updateVehicle,79
updateVehicle,96
updateVehicle,95
addVehicle,96
updateVehicle,93
updateVehicle,95
updateVehicle,79
updateVehicle,78
addVehicle,112
updateVehicle,79
updateVehicle,94
updateVehicle,81
updateVehicle,96
updateVehicle,96
updateVehicle,94
updateVehicle,95
updateVehicle,95
updateVehicle,88
updateVehicle,95
addVehicle,141
updateVehicle,77
updateVehicle,82
updateVehicle,80
addVehicle,95
updateVehicle,78
updateVehicle,80
updateVehicle,79
updateVehicle,98
updateVehicle,111
addVehicle,111
updateVehicle,81
updateVehicle,76
updateVehicle,79
updateVehicle,79
updateVehicle,80
updateVehicle,95
updateVehicle,97
addVehicle,111
updateVehicle,77
updateVehicle,85
addVehicle,88
updateVehicle,80
updateVehicle,77
updateVehicle,79
updateVehicle,79
updateVehicle,75
updateVehicle,85
updateVehicle,79
updateVehicle,96
addVehicle,125
updateVehicle,78
addVehicle,95
updateVehicle,95
updateVehicle,78
updateVehicle,80
updateVehicle,79
updateVehicle,79
updateVehicle,80
updateVehicle,79
updateVehicle,69
updateVehicle,75
updateVehicle,77
addVehicle,112
updateVehicle,80
updateVehicle,80
updateVehicle,125
updateVehicle,79
updateVehicle,80
addVehicle,96
updateVehicle,79
updateVehicle,79
updateVehicle,80
addVehicle,94
updateVehicle,94
updateVehicle,79
addVehicle,94
updateVehicle,81
updateVehicle,79
updateVehicle,80
updateVehicle,80
updateVehicle,96
updateVehicle,80
addVehicle,110
updateVehicle,96
updateVehicle,94
addVehicle,94
updateVehicle,80
addVehicle,95
updateVehicle,82
updateVehicle,78
updateVehicle,80
updateVehicle,80
updateVehicle,96
updateVehicle,95
addVehicle,93
updateVehicle,81
addVehicle,111
updateVehicle,79
updateVehicle,93
updateVehicle,95
updateVehicle,94
updateVehicle,80
updateVehicle,80
addVehicle,98
updateVehicle,114
updateVehicle,82
updateVehicle,77
addVehicle,94
updateVehicle,79
updateVehicle,79
updateVehicle,80
updateVehicle,79
updateVehicle,97
updateVehicle,78
updateVehicle,79
updateVehicle,69
updateVehicle,76
updateVehicle,92
addVehicle,96
updateVehicle,79
updateVehicle,79
updateVehicle,79
updateVehicle,81
updateVehicle,80
updateVehicle,79
updateVehicle,96
updateVehicle,80
updateVehicle,94
addVehicle,110
updateVehicle,81
updateVehicle,79
updateVehicle,80
updateVehicle,94
addVehicle,117
updateVehicle,87
updateVehicle,80
addVehicle,127
updateVehicle,95
updateVehicle,94
updateVehicle,95
addVehicle,95
updateVehicle,78
updateVehicle,78
updateVehicle,82
updateVehicle,79
updateVehicle,80
updateVehicle,63
updateVehicle,80
addVehicle,109
updateVehicle,126
updateVehicle,77
updateVehicle,80
updateVehicle,78
updateVehicle,78
updateVehicle,95
addVehicle,113
updateVehicle,108
updateVehicle,79
updateVehicle,77
updateVehicle,81
updateVehicle,80
updateVehicle,95
updateVehicle,77
addVehicle,98
updateVehicle,97
updateVehicle,92
updateVehicle,64
updateVehicle,79
updateVehicle,79
updateVehicle,80
updateVehicle,80
addVehicle,95
updateVehicle,80
updateVehicle,79
addVehicle,95
updateVehicle,80
updateVehicle,79
updateVehicle,78
updateVehicle,80
updateVehicle,79
updateVehicle,97
updateVehicle,119
updateVehicle,78
addVehicle,96
updateVehicle,80
updateVehicle,79
addVehicle,112
updateVehicle,79
updateVehicle,78
updateVehicle,80
updateVehicle,95
updateVehicle,78
updateVehicle,76
updateVehicle,83
addVehicle,94
updateVehicle,81
updateVehicle,79
updateVehicle,80
updateVehicle,95
updateVehicle,94
updateVehicle,80
updateVehicle,78
updateVehicle,80
updateVehicle,77
addVehicle,110
updateVehicle,81
updateVehicle,93
updateVehicle,77
updateVehicle,83
updateVehicle,78
updateVehicle,93
updateVehicle,98
updateVehicle,80
updateVehicle,117
addVehicle,112
updateVehicle,93
