action,duration
addVehicle,1681
updateVehicle,199
addVehicle,181
updateVehicle,151
updateVehicle,160
updateVehicle,136
updateVehicle,142
updateVehicle,145
updateVehicle,141
updateVehicle,138
updateVehicle,206
updateVehicle,133
updateVehicle,140
addVehicle,156
updateVehicle,140
updateVehicle,129
updateVehicle,133
updateVehicle,136
updateVehicle,139
updateVehicle,142
addVehicle,138
updateVehicle,127
updateVehicle,133
updateVehicle,132
updateVehicle,148
updateVehicle,157
addVehicle,129
updateVehicle,111
updateVehicle,121
addVehicle,156
updateVehicle,126
updateVehicle,118
updateVehicle,131
updateVehicle,114
updateVehicle,122
updateVehicle,125
addVehicle,127
updateVehicle,124
updateVehicle,152
updateVehicle,131
addVehicle,137
updateVehicle,122
updateVehicle,126
updateVehicle,124
updateVehicle,128
updateVehicle,126
addVehicle,183
updateVehicle,135
updateVehicle,119
updateVehicle,122
updateVehicle,127
updateVehicle,122
updateVehicle,123
updateVehicle,158
updateVehicle,131
updateVehicle,121
updateVehicle,127
addVehicle,139
updateVehicle,124
updateVehicle,111
addVehicle,141
updateVehicle,109
updateVehicle,124
updateVehicle,126
addVehicle,122
updateVehicle,127
updateVehicle,127
updateVehicle,122
updateVehicle,162
updateVehicle,105
addVehicle,128
updateVehicle,126
updateVehicle,123
updateVehicle,125
updateVehicle,122
updateVehicle,129
updateVehicle,125
addVehicle,149
updateVehicle,125
updateVehicle,109
addVehicle,143
updateVehicle,123
updateVehicle,109
addVehicle,167
updateVehicle,125
updateVehicle,109
updateVehicle,127
updateVehicle,125
updateVehicle,118
updateVehicle,169
updateVehicle,149
updateVehicle,139
updateVehicle,119
updateVehicle,174
addVehicle,155
updateVehicle,157
updateVehicle,135
updateVehicle,130
updateVehicle,180
updateVehicle,150
updateVehicle,141
addVehicle,171
updateVehicle,181
updateVehicle,140
updateVehicle,141
updateVehicle,151
addVehicle,155
updateVehicle,122
updateVehicle,138
updateVehicle,110
addVehicle,125
updateVehicle,124
addVehicle,141
updateVehicle,122
updateVehicle,140
updateVehicle,107
addVehicle,143
updateVehicle,126
addVehicle,140
updateVehicle,125
addVehicle,139
updateVehicle,121
updateVehicle,125
updateVehicle,126
updateVehicle,107
updateVehicle,108
updateVehicle,126
updateVehicle,106
updateVehicle,130
addVehicle,148
updateVehicle,120
updateVehicle,115
updateVehicle,124
updateVehicle,110
updateVehicle,124
updateVehicle,113
updateVehicle,124
updateVehicle,122
updateVehicle,109
updateVehicle,128
addVehicle,138
updateVehicle,127
updateVehicle,103
updateVehicle,130
addVehicle,156
updateVehicle,126
updateVehicle,127
updateVehicle,123
updateVehicle,126
updateVehicle,123
updateVehicle,118
updateVehicle,146
updateVehicle,129
updateVehicle,123
updateVehicle,107
addVehicle,144
updateVehicle,125
updateVehicle,123
updateVehicle,131
updateVehicle,151
updateVehicle,126
updateVehicle,123
addVehicle,128
updateVehicle,122
updateVehicle,186
addVehicle,144
updateVehicle,120
updateVehicle,126
updateVehicle,122
updateVehicle,109
updateVehicle,126
updateVehicle,131
updateVehicle,138
updateVehicle,129
updateVehicle,149
addVehicle,122
updateVehicle,111
updateVehicle,127
updateVehicle,104
updateVehicle,114
updateVehicle,108
updateVehicle,107
addVehicle,128
updateVehicle,109
updateVehicle,126
updateVehicle,107
updateVehicle,112
updateVehicle,112
updateVehicle,110
updateVehicle,121
updateVehicle,157
updateVehicle,126
updateVehicle,108
addVehicle,140
updateVehicle,127
updateVehicle,105
addVehicle,126
updateVehicle,110
updateVehicle,103
updateVehicle,113
updateVehicle,111
updateVehicle,126
updateVehicle,155
updateVehicle,105
updateVehicle,124
updateVehicle,152
updateVehicle,113
addVehicle,142
updateVehicle,124
updateVehicle,129
updateVehicle,122
updateVehicle,126
updateVehicle,123
updateVehicle,108
updateVehicle,129
addVehicle,119
updateVehicle,172
updateVehicle,130
addVehicle,146
updateVehicle,124
updateVehicle,161
updateVehicle,174
updateVehicle,121
updateVehicle,108
updateVehicle,147
updateVehicle,152
updateVehicle,140
updateVehicle,137
addVehicle,144
updateVehicle,139
updateVehicle,123
updateVehicle,118
updateVehicle,148
updateVehicle,111
updateVehicle,127
updateVehicle,108
addVehicle,152
updateVehicle,153
updateVehicle,123
updateVehicle,129
updateVehicle,123
addVehicle,143
updateVehicle,122
updateVehicle,126
updateVehicle,121
addVehicle,121
updateVehicle,110
updateVehicle,124
updateVehicle,116
updateVehicle,131
updateVehicle,127
updateVehicle,126
updateVehicle,130
updateVehicle,133
updateVehicle,123
updateVehicle,112
addVehicle,125
updateVehicle,124
updateVehicle,124
updateVehicle,122
updateVehicle,122
updateVehicle,128
updateVehicle,123
updateVehicle,131
addVehicle,119
updateVehicle,128
updateVehicle,123
addVehicle,146
updateVehicle,182
updateVehicle,124
updateVehicle,107
updateVehicle,131
updateVehicle,122
updateVehicle,110
updateVehicle,108
addVehicle,133
updateVehicle,135
updateVehicle,108
updateVehicle,110
updateVehicle,124
updateVehicle,107
updateVehicle,112
updateVehicle,113
updateVehicle,136
updateVehicle,133
addVehicle,137
updateVehicle,110
updateVehicle,130
updateVehicle,134
updateVehicle,125
addVehicle,126
updateVehicle,125
updateVehicle,127
updateVehicle,109
updateVehicle,105
updateVehicle,110
addVehicle,141
updateVehicle,127
updateVehicle,144
updateVehicle,114
updateVehicle,135
addVehicle,131
updateVehicle,132
addVehicle,155
updateVehicle,120
updateVehicle,114
updateVehicle,124
updateVehicle,126
updateVehicle,126
updateVehicle,123
updateVehicle,127
updateVehicle,123
updateVehicle,109
addVehicle,123
updateVehicle,161
updateVehicle,140
updateVehicle,121
updateVehicle,112
updateVehicle,127
updateVehicle,106
updateVehicle,114
addVehicle,123
updateVehicle,127
updateVehicle,126
updateVehicle,125
updateVehicle,127
updateVehicle,122
updateVehicle,128
updateVehicle,118
updateVehicle,113
updateVehicle,126
updateVehicle,152
addVehicle,142
updateVehicle,123
updateVehicle,105
updateVehicle,131
updateVehicle,123
addVehicle,123
updateVehicle,129
updateVehicle,122
updateVehicle,122
updateVehicle,105
updateVehicle,115
addVehicle,123
updateVehicle,127
updateVehicle,125
updateVehicle,124
updateVehicle,125
updateVehicle,142
updateVehicle,123
addVehicle,139
updateVehicle,129
updateVehicle,138
updateVehicle,127
updateVehicle,107
updateVehicle,124
addVehicle,128
updateVehicle,105
updateVehicle,125
updateVehicle,127
addVehicle,141
updateVehicle,107
updateVehicle,157
updateVehicle,124
addVehicle,139
updateVehicle,140
updateVehicle,122
updateVehicle,110
updateVehicle,126
addVehicle,145
updateVehicle,97
updateVehicle,102
updateVehicle,126
addVehicle,137
updateVehicle,109
updateVehicle,126
updateVehicle,125
updateVehicle,146
addVehicle,119
updateVehicle,103
updateVehicle,126
addVehicle,141
updateVehicle,127
updateVehicle,107
updateVehicle,122
updateVehicle,126
addVehicle,123
updateVehicle,123
addVehicle,140
updateVehicle,134
updateVehicle,112
updateVehicle,112
updateVehicle,155
updateVehicle,129
updateVehicle,126
updateVehicle,123
addVehicle,141
updateVehicle,120
updateVehicle,108
updateVehicle,110
updateVehicle,109
updateVehicle,108
updateVehicle,110
addVehicle,139
updateVehicle,124
updateVehicle,128
updateVehicle,124
addVehicle,168
updateVehicle,127
updateVehicle,127
updateVehicle,122
addVehicle,123
updateVehicle,105
updateVehicle,130
updateVehicle,122
addVehicle,141
updateVehicle,107
updateVehicle,124
updateVehicle,121
updateVehicle,109
updateVehicle,124
addVehicle,125
updateVehicle,152
updateVehicle,108
updateVehicle,114
updateVehicle,110
updateVehicle,140
updateVehicle,142
updateVehicle,106
addVehicle,127
updateVehicle,110
updateVehicle,139
updateVehicle,103
updateVehicle,130
updateVehicle,122
updateVehicle,124
updateVehicle,110
updateVehicle,143
updateVehicle,123
addVehicle,122
updateVehicle,109
updateVehicle,109
addVehicle,143
updateVehicle,117
updateVehicle,111
updateVehicle,126
updateVehicle,122
updateVehicle,110
updateVehicle,126
addVehicle,139
updateVehicle,124
updateVehicle,105
updateVehicle,130
updateVehicle,150
updateVehicle,112
updateVehicle,109
updateVehicle,127
addVehicle,139
updateVehicle,124
updateVehicle,125
updateVehicle,127
addVehicle,126
updateVehicle,110
updateVehicle,103
updateVehicle,124
addVehicle,121
updateVehicle,113
updateVehicle,105
updateVehicle,126
updateVehicle,144
updateVehicle,166
updateVehicle,139
updateVehicle,118
updateVehicle,132
addVehicle,172
updateVehicle,117
updateVehicle,137
updateVehicle,129
updateVehicle,122
addVehicle,158
updateVehicle,184
updateVehicle,121
updateVehicle,120
addVehicle,143
updateVehicle,126
addVehicle,139
updateVehicle,153
updateVehicle,126
updateVehicle,125
addVehicle,131
updateVehicle,131
updateVehicle,140
updateVehicle,127
updateVehicle,125
updateVehicle,141
updateVehicle,119
updateVehicle,127
updateVehicle,145
addVehicle,184
updateVehicle,133
updateVehicle,140
updateVehicle,154
updateVehicle,139
addVehicle,154
updateVehicle,124
addVehicle,123
updateVehicle,124
updateVehicle,109
updateVehicle,126
updateVehicle,124
addVehicle,143
updateVehicle,190
updateVehicle,138
updateVehicle,135
updateVehicle,129
addVehicle,140
updateVehicle,133
updateVehicle,111
updateVehicle,112
updateVehicle,124
updateVehicle,124
updateVehicle,108
updateVehicle,129
addVehicle,120
updateVehicle,108
updateVehicle,111
updateVehicle,108
updateVehicle,112
updateVehicle,125
updateVehicle,111
updateVehicle,123
updateVehicle,155
updateVehicle,110
addVehicle,131
updateVehicle,125
addVehicle,141
updateVehicle,122
updateVehicle,123
updateVehicle,107
updateVehicle,108
updateVehicle,109
updateVehicle,108
updateVehicle,125
updateVehicle,102
addVehicle,128
updateVehicle,127
updateVehicle,153
updateVehicle,126
updateVehicle,108
updateVehicle,127
addVehicle,124
updateVehicle,122
updateVehicle,112
updateVehicle,107
updateVehicle,124
updateVehicle,121
updateVehicle,114
addVehicle,141
updateVehicle,122
updateVehicle,125
updateVehicle,113
updateVehicle,157
updateVehicle,167
updateVehicle,112
updateVehicle,112
addVehicle,143
updateVehicle,126
updateVehicle,137
updateVehicle,142
updateVehicle,109
updateVehicle,124
updateVehicle,127
updateVehicle,121
updateVehicle,126
updateVehicle,127
updateVehicle,138
addVehicle,147
updateVehicle,134
updateVehicle,106
updateVehicle,127
updateVehicle,112
updateVehicle,135
updateVehicle,126
updateVehicle,106
updateVehicle,126
updateVehicle,110
addVehicle,139
updateVehicle,128
updateVehicle,140
updateVehicle,119
addVehicle,129
updateVehicle,126
updateVehicle,138
updateVehicle,127
updateVehicle,133
updateVehicle,144
addVehicle,124
updateVehicle,126
updateVehicle,124
updateVehicle,126
updateVehicle,119
updateVehicle,125
updateVehicle,126
updateVehicle,108
updateVehicle,125
updateVehicle,112
updateVehicle,105
addVehicle,174
updateVehicle,108
updateVehicle,108
updateVehicle,128
updateVehicle,121
updateVehicle,111
updateVehicle,133
updateVehicle,113
updateVehicle,110
updateVehicle,127
updateVehicle,121
addVehicle,128
updateVehicle,105
updateVehicle,114
updateVehicle,123
updateVehicle,153
updateVehicle,107
updateVehicle,110
updateVehicle,107
updateVehicle,128
updateVehicle,107
updateVehicle,127
addVehicle,138
updateVehicle,112
updateVehicle,129
updateVehicle,123
updateVehicle,126
updateVehicle,122
addVehicle,140
updateVehicle,127
updateVehicle,122
updateVehicle,149
updateVehicle,116
updateVehicle,128
updateVehicle,107
updateVehicle,125
updateVehicle,128
addVehicle,153
updateVehicle,123
updateVehicle,120
updateVehicle,127
addVehicle,122
updateVehicle,128
updateVehicle,124
updateVehicle,126
updateVehicle,124
updateVehicle,122
updateVehicle,150
updateVehicle,129
updateVehicle,126
updateVehicle,108
updateVehicle,127
addVehicle,125
updateVehicle,127
updateVehicle,124
updateVehicle,119
updateVehicle,145
updateVehicle,108
updateVehicle,126
updateVehicle,108
addVehicle,194
updateVehicle,103
updateVehicle,158
updateVehicle,111
updateVehicle,107
updateVehicle,112
updateVehicle,123
updateVehicle,110
updateVehicle,127
updateVehicle,108
addVehicle,125
updateVehicle,109
updateVehicle,111
addVehicle,138
updateVehicle,123
updateVehicle,123
updateVehicle,124
updateVehicle,142
updateVehicle,127
addVehicle,139
updateVehicle,132
updateVehicle,132
addVehicle,125
updateVehicle,111
updateVehicle,126
updateVehicle,108
updateVehicle,111
updateVehicle,107
updateVehicle,129
updateVehicle,124
updateVehicle,111
addVehicle,146
updateVehicle,150
addVehicle,141
updateVehicle,126
addVehicle,125
updateVehicle,106
addVehicle,143
updateVehicle,124
updateVehicle,120
updateVehicle,115
updateVehicle,134
updateVehicle,128
updateVehicle,121
updateVehicle,126
addVehicle,122
updateVehicle,115
updateVehicle,138
updateVehicle,127
updateVehicle,107
updateVehicle,110
updateVehicle,125
addVehicle,125
updateVehicle,127
updateVehicle,124
updateVehicle,126
addVehicle,124
updateVehicle,117
updateVehicle,103
updateVehicle,111
updateVehicle,128
updateVehicle,113
updateVehicle,112
updateVehicle,152
addVehicle,145
updateVehicle,119
updateVehicle,126
updateVehicle,111
updateVehicle,109
updateVehicle,126
updateVehicle,108
updateVehicle,111
updateVehicle,127
addVehicle,137
updateVehicle,124
updateVehicle,125
updateVehicle,124
updateVehicle,128
updateVehicle,160
updateVehicle,123
updateVehicle,127
updateVehicle,125
addVehicle,144
